id,addr1,city,State,zip,country
100651,9 Gregory Street,Paramus,NJ,7652,US
100652,93 Indian Spring Ave.,Hudson,NH,3051,US
100653,77 Country St.,Lake Mary,FL,32746,US
100654,22 Ridgewood Ave.,Huntington Station,NY,11746,US
100655,827 Hanover Ave.,Green Cove Springs,FL,32043,US
100656,13 South Sleepy Hollow St.,Mobile,AL,36605,US
100657,7641 NE. Newbridge Road,Saint Johns,FL,32259,US
100658,9239 St Margarets Street,Ypsilanti,MI,48197,US
100659,7208 Shipley Drive,Forest Hills,NY,11375,US
100660,17 South Pumpkin Hill St.,Inman,SC,29349,US
100661,404 Foster Street,Seattle,WA,98144,US
100662,9559 Cleveland Ave.,Battle Creek,MI,49015,US
100663,363 Acacia Street,Webster,NY,14580,US
100664,868 South Prince St.,Gulfport,MS,39503,US
100665,6 8th Drive,Melbourne,FL,32904,US
100666,462 Laurel Street,Allison Park,PA,15101,US
100667,8279 Pennington Ave.,Oviedo,FL,32765,US
100668,16 Pulaski Drive,Santa Cruz,CA,95060,US
100669,24 East Rd.,Horn Lake,MS,38637,US
100670,387 Foster Drive,Lowell,MA,1851,US
100671,77 Valley Drive,Dawsonville,GA,30534,US
100672,9751 Kent Ave.,Laurel,MD,20707,US
100673,361 S. Livingston Dr.,Londonderry,NH,3053,US
100674,7613 Cedarwood Lane,Dayton,OH,45420,US
100675,9 Winding Way Lane,Camp Hill,PA,17011,US
100676,555 Ryan Avenue,Satellite Beach,FL,32937,US
100677,372 Studebaker St.,Brookfield,WI,53045,US
100678,7779 S. Pacific Street,Palm Harbor,FL,34683,US
100679,586 South Orange Drive,Wethersfield,CT,6109,US
100680,268 Sage St.,Bethesda,MD,20814,US
100681,7260 Shadow Brook Court,Nampa,ID,83651,US
100682,420 Edgewater St.,Stafford,VA,22554,US
100683,37 Walnut Lane,Hollywood,FL,33020,US
100684,408 Galvin Street,Middleburg,FL,32068,US
100685,337 Trusel Road,Colonial Heights,VA,23834,US
100686,40 West Leeton Ridge St.,Tuscaloosa,AL,35405,US
100687,12 Birch Hill Lane,Urbandale,IA,50322,US
100688,439 Market Ave.,Fleming Island,FL,32003,US
100689,577 Vale Street,Omaha,NE,68107,US
100690,6 Canal Ave.,Valdosta,GA,31601,US
100691,60 Stillwater Ave.,Butte,MT,59701,US
100692,44 W. Devonshire Dr.,Findlay,OH,45840,US
100693,9419 Kingston Ave.,Annapolis,MD,21401,US
