id,externalid,firstname,lastname,email,title,lastmodifieddate,isinactive,department,supervisor,DELETE_RandomColumn,DELETE_SupervisorRow,DELETE_RandYear
9394,48441,Deacon,Rivas,Deacon.Rivas@businessdatastack.com,Director,2021-09-26,F,22,367,6,4,2021
2683,30781,Zaiden,Lynch,Zaiden.Lynch@businessdatastack.com,Analyst,2022-06-15,F,19,8643,2,8,2022
367,90607,Logan,Compton,Logan.Compton@businessdatastack.com,Sr. Director,2021-10-16,F,28,,7,,2021
8797,94546,Zion,Brooks,Zion.Brooks@businessdatastack.com,Sr. Director,2022-03-15,F,21,,7,,2022
986,53488,Shaylee,Terry,Shaylee.Terry@businessdatastack.com,Sr. Manager,2022-04-05,F,17,3781,5,22,2022
8910,80573,Ross,Murillo,Ross.Murillo@businessdatastack.com,Manager,2022-01-28,T,28,5161,4,17,2022
8643,56428,Nigel,Webster,Nigel.Webster@businessdatastack.com,Sr. Analyst,2020-10-11,F,28,1322,3,10,2020
8088,13980,Giovanna,Brennan,Giovanna.Brennan@businessdatastack.com,Sr. Director,2021-12-23,F,25,,7,,2021
1322,8831,Cohen,Patton,Cohen.Patton@businessdatastack.com,Manager,2020-08-21,F,20,5161,4,17,2020
1587,79915,Jayda,Collier,Jayda.Collier@businessdatastack.com,Manager,2020-08-10,F,35,5161,4,17,2020
4284,54275,Grace,Mayo,Grace.Mayo@businessdatastack.com,Analyst,2021-02-05,F,27,1842,2,13,2021
1842,58402,Angeline,Cordova,Angeline.Cordova@businessdatastack.com,Sr. Analyst,2022-07-17,F,28,5308,3,14,2022
5308,3181,Kennedi,Harrington,Kennedi.Harrington@businessdatastack.com,Manager,2021-09-22,F,16,5161,4,17,2021
6990,60350,Corey,Parks,Corey.Parks@businessdatastack.com,Sr. Analyst,2022-01-19,T,30,3445,3,16,2022
3445,69481,Lamont,Gray,Lamont.Gray@businessdatastack.com,Manager,2020-03-18,F,27,5161,4,17,2020
5161,19449,Brittany,Lin,Brittany.Lin@businessdatastack.com,Sr. Manager,2022-06-06,F,28,3781,5,22,2022
722,89085,Cora,Hudson,Cora.Hudson@businessdatastack.com,Sr. Manager,2020-06-04,F,31,3781,5,22,2020
3305,57949,Tabitha,Barnes,Tabitha.Barnes@businessdatastack.com,Sr. Analyst,2020-02-19,F,21,6544,3,20,2020
6544,41128,America,Duffy,America.Duffy@businessdatastack.com,Manager,2020-03-27,F,25,7472,4,23,2020
8981,79169,Nash,Barrera,Nash.Barrera@businessdatastack.com,Sr. Director,2020-01-25,F,22,,7,,2020
3781,3016,Felipe,Mills,Felipe.Mills@businessdatastack.com,Director,2021-06-04,F,28,8749,6,27,2021
7472,44054,Madyson,Kennedy,Madyson.Kennedy@businessdatastack.com,Sr. Manager,2020-01-10,F,20,3729,5,31,2020
5967,38251,Raven,Dixon,Raven.Dixon@businessdatastack.com,Sr. Analyst,2021-08-19,F,36,5262,3,28,2021
156,41664,Shayna,Young,Shayna.Young@businessdatastack.com,Sr. Analyst,2022-04-10,T,22,5262,3,28,2022
6858,22206,Lara,Heath,Lara.Heath@businessdatastack.com,Sr. Manager,2020-09-03,F,29,3729,5,31,2020
8749,35850,Emmett,Daniel,Emmett.Daniel@businessdatastack.com,Sr. Director,2021-11-17,T,26,,7,,2021
5262,78206,Nyla,Blackwell,Nyla.Blackwell@businessdatastack.com,Manager,2020-02-27,F,22,8062,4,33,2020
2582,72984,Dorian,Fleming,Dorian.Fleming@businessdatastack.com,Sr. Director,2021-12-03,F,24,,7,,2021
2538,12655,Kaleigh,Duncan,Kaleigh.Duncan@businessdatastack.com,Sr. Analyst,2021-05-03,F,28,3891,3,36,2021
3729,77018,Kiana,Pollard,Kiana.Pollard@businessdatastack.com,Director,2022-07-06,F,22,8512,6,32,2022
8512,24319,Aldo,King,Aldo.King@businessdatastack.com,Sr. Director,2021-07-06,T,32,,7,,2021
8062,9115,Reagan,Ponce,Reagan.Ponce@businessdatastack.com,Sr. Manager,2021-11-21,T,22,1709,5,41,2021
6301,7753,Isaiah,Price,Isaiah.Price@businessdatastack.com,Analyst,2021-03-04,F,29,9409,2,38,2021
4699,11114,Trevin,Woodward,Trevin.Woodward@businessdatastack.com,Sr. Manager,2020-06-17,F,22,1709,5,41,2020
3891,20559,Chaim,Shah,Chaim.Shah@businessdatastack.com,Manager,2020-03-23,F,26,8856,4,45,2020
5312,33079,Paisley,Carlson,Paisley.Carlson@businessdatastack.com,Analyst,2020-10-03,F,23,9409,2,38,2020
9409,39994,Hailey,Valencia,Hailey.Valencia@businessdatastack.com,Sr. Analyst,2020-02-01,F,23,325,3,44,2020
1482,68763,Taylor,Sanders,Taylor.Sanders@businessdatastack.com,Analyst,2022-08-08,F,34,4955,2,40,2022
4955,16220,Sarah,Rose,Sarah.Rose@businessdatastack.com,Sr. Analyst,2021-02-12,F,29,325,3,44,2021
1709,66211,Sawyer,Gentry,Sawyer.Gentry@businessdatastack.com,Director,2021-12-06,F,31,1669,6,53,2021
693,6372,Garrett,Bray,Garrett.Bray@businessdatastack.com,Sr. Analyst,2020-01-01,F,35,325,3,44,2020
